"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source"
"298","KonanBP32","ERR1775314","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"299","KonanBP33","ERR1775315","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"300","KonanBP34","ERR1775316","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"301","KonanBP35","ERR1775317","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"302","KonanBP36","ERR1775318","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"303","KonanBP37","ERR1775319","2013","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"304","KonanBP38","ERR1775320","2013","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"305","KonanBP39","ERR1775321","2013","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"306","Tohama","ERR2102109","1954","Japan","Asia","ptxP1/fim3-1","NCBI"
"307","Tohama","NC_002929.2","1954",NA,NA,"ptxP1/fim3-1","NCBI"
